gene,disease,module_id,module_degree,global_degree,module_size,mod_deg_norm,label
PHF5A,AD,4,10,182,233,0.04291845493562232,0
PHF5A,AD,5,5,182,160,0.03125,0
PHF5A,AD,6,3,182,118,0.025423728813559324,0
PHF5A,AD,7,0,182,53,0.0,0
PHF5A,AD,8,15,182,394,0.03807106598984772,0
PHF5A,AD,9,3,182,128,0.0234375,0
PHF5A,AD,10,9,182,293,0.030716723549488054,0
PHF5A,AD,11,6,182,81,0.07407407407407407,0
PHF5A,AD,12,1,182,129,0.007751937984496124,0
PHF5A,AD,13,2,182,290,0.006896551724137931,0
PHF5A,AD,14,2,182,38,0.05263157894736842,0
PHF5A,AD,15,4,182,179,0.0223463687150838,0
PHF5A,AD,16,4,182,129,0.031007751937984496,0
PHF5A,AD,17,2,182,175,0.011428571428571429,0
PHF5A,AD,18,2,182,96,0.020833333333333332,0
PHF5A,AD,19,3,182,112,0.026785714285714284,0
PHF5A,AD,20,6,182,213,0.028169014084507043,0
PHF5A,AD,21,3,182,159,0.018867924528301886,0
PHF5A,AD,22,2,182,512,0.00390625,0
PHF5A,AD,23,2,182,91,0.02197802197802198,0
HNRNPH3,AD,0,6,339,194,0.030927835051546393,0
HNRNPH3,AD,1,9,339,216,0.041666666666666664,0
HNRNPH3,AD,2,0,339,109,0.0,0
HNRNPH3,AD,3,18,339,195,0.09230769230769231,0
HNRNPH3,AD,4,17,339,233,0.07296137339055794,0
HNRNPH3,AD,5,12,339,160,0.075,0
HNRNPH3,AD,6,2,339,118,0.01694915254237288,0
HNRNPH3,AD,7,1,339,53,0.018867924528301886,0
HNRNPH3,AD,8,16,339,394,0.04060913705583756,0
HNRNPH3,AD,9,6,339,128,0.046875,0
HNRNPH3,AD,10,21,339,293,0.07167235494880546,0
HNRNPH3,AD,11,3,339,81,0.037037037037037035,0
HNRNPH3,AD,12,3,339,129,0.023255813953488372,0
HNRNPH3,AD,13,4,339,290,0.013793103448275862,0
HNRNPH3,AD,14,1,339,38,0.02631578947368421,0
HNRNPH3,AD,15,5,339,179,0.027932960893854747,0
HNRNPH3,AD,16,5,339,129,0.03875968992248062,0
HNRNPH3,AD,17,8,339,175,0.045714285714285714,0
HNRNPH3,AD,18,0,339,96,0.0,0
HNRNPH3,AD,19,0,339,112,0.0,0
HNRNPH3,AD,20,9,339,213,0.04225352112676056,0
HNRNPH3,AD,21,13,339,159,0.08176100628930817,0
HNRNPH3,AD,22,15,339,512,0.029296875,0
HNRNPH3,AD,23,4,339,91,0.04395604395604396,0
UBAP2L,AD,0,9,346,194,0.04639175257731959,0
UBAP2L,AD,1,13,346,216,0.06018518518518518,0
UBAP2L,AD,2,3,346,109,0.027522935779816515,0
UBAP2L,AD,3,17,346,195,0.08717948717948718,0
UBAP2L,AD,4,17,346,233,0.07296137339055794,0
UBAP2L,AD,5,6,346,160,0.0375,0
UBAP2L,AD,6,8,346,118,0.06779661016949153,0
UBAP2L,AD,7,1,346,53,0.018867924528301886,0
UBAP2L,AD,8,22,346,394,0.05583756345177665,0
UBAP2L,AD,9,9,346,128,0.0703125,0
UBAP2L,AD,10,10,346,293,0.034129692832764506,0
UBAP2L,AD,11,4,346,81,0.04938271604938271,0
UBAP2L,AD,12,2,346,129,0.015503875968992248,0
UBAP2L,AD,13,7,346,290,0.02413793103448276,0
UBAP2L,AD,14,2,346,38,0.05263157894736842,0
UBAP2L,AD,15,8,346,179,0.0446927374301676,0
UBAP2L,AD,16,4,346,129,0.031007751937984496,0
UBAP2L,AD,17,11,346,175,0.06285714285714286,0
UBAP2L,AD,18,3,346,96,0.03125,0
UBAP2L,AD,19,4,346,112,0.03571428571428571,0
UBAP2L,AD,20,7,346,213,0.03286384976525822,0
UBAP2L,AD,21,3,346,159,0.018867924528301886,0
UBAP2L,AD,22,17,346,512,0.033203125,0
UBAP2L,AD,23,2,346,91,0.02197802197802198,0
BRICD5,AD,0,2,193,194,0.010309278350515464,0
BRICD5,AD,1,2,193,216,0.009259259259259259,0
BRICD5,AD,2,1,193,109,0.009174311926605505,0
BRICD5,AD,3,0,193,195,0.0,0
BRICD5,AD,4,5,193,233,0.02145922746781116,0
BRICD5,AD,5,1,193,160,0.00625,0
BRICD5,AD,6,0,193,118,0.0,0
BRICD5,AD,7,1,193,53,0.018867924528301886,0
BRICD5,AD,8,4,193,394,0.01015228426395939,0
BRICD5,AD,9,5,193,128,0.0390625,0
BRICD5,AD,10,1,193,293,0.0034129692832764505,0
BRICD5,AD,11,1,193,81,0.012345679012345678,0
BRICD5,AD,12,1,193,129,0.007751937984496124,0
BRICD5,AD,13,2,193,290,0.006896551724137931,0
BRICD5,AD,14,1,193,38,0.02631578947368421,0
BRICD5,AD,15,2,193,179,0.0111731843575419,0
BRICD5,AD,16,5,193,129,0.03875968992248062,0
BRICD5,AD,17,22,193,175,0.12571428571428572,0
BRICD5,AD,18,3,193,96,0.03125,0
BRICD5,AD,19,0,193,112,0.0,0
BRICD5,AD,20,0,193,213,0.0,0
BRICD5,AD,21,0,193,159,0.0,0
BRICD5,AD,22,11,193,512,0.021484375,0
BRICD5,AD,23,0,193,91,0.0,0
PLEKHG1,AD,0,2,72,194,0.010309278350515464,0
PLEKHG1,AD,1,2,72,216,0.009259259259259259,0
PLEKHG1,AD,2,1,72,109,0.009174311926605505,0
PLEKHG1,AD,3,1,72,195,0.005128205128205128,0
PLEKHG1,AD,4,2,72,233,0.008583690987124463,0
PLEKHG1,AD,5,3,72,160,0.01875,0
PLEKHG1,AD,6,2,72,118,0.01694915254237288,0
PLEKHG1,AD,7,0,72,53,0.0,0
PLEKHG1,AD,8,2,72,394,0.005076142131979695,0
PLEKHG1,AD,9,1,72,128,0.0078125,0
PLEKHG1,AD,10,2,72,293,0.006825938566552901,0
PLEKHG1,AD,11,3,72,81,0.037037037037037035,0
PLEKHG1,AD,12,3,72,129,0.023255813953488372,0
PLEKHG1,AD,13,0,72,290,0.0,0
PLEKHG1,AD,14,0,72,38,0.0,0
PLEKHG1,AD,15,1,72,179,0.00558659217877095,0
PLEKHG1,AD,16,2,72,129,0.015503875968992248,0
PLEKHG1,AD,17,1,72,175,0.005714285714285714,0
PLEKHG1,AD,18,2,72,96,0.020833333333333332,0
PLEKHG1,AD,19,1,72,112,0.008928571428571428,0
PLEKHG1,AD,20,0,72,213,0.0,0
PLEKHG1,AD,21,1,72,159,0.006289308176100629,0
PLEKHG1,AD,22,4,72,512,0.0078125,0
PLEKHG1,AD,23,0,72,91,0.0,0
TSPAN7,AD,0,0,37,194,0.0,0
TSPAN7,AD,1,0,37,216,0.0,0
TSPAN7,AD,2,1,37,109,0.009174311926605505,0
TSPAN7,AD,3,2,37,195,0.010256410256410256,0
TSPAN7,AD,4,0,37,233,0.0,0
TSPAN7,AD,5,0,37,160,0.0,0
TSPAN7,AD,6,1,37,118,0.00847457627118644,0
TSPAN7,AD,7,0,37,53,0.0,0
TSPAN7,AD,8,0,37,394,0.0,0
TSPAN7,AD,9,0,37,128,0.0,0
TSPAN7,AD,10,0,37,293,0.0,0
TSPAN7,AD,11,1,37,81,0.012345679012345678,0
TSPAN7,AD,12,1,37,129,0.007751937984496124,0
TSPAN7,AD,13,0,37,290,0.0,0
TSPAN7,AD,14,0,37,38,0.0,0
TSPAN7,AD,15,0,37,179,0.0,0
TSPAN7,AD,16,0,37,129,0.0,0
TSPAN7,AD,17,0,37,175,0.0,0
TSPAN7,AD,18,1,37,96,0.010416666666666666,0
TSPAN7,AD,19,1,37,112,0.008928571428571428,0
TSPAN7,AD,20,0,37,213,0.0,0
TSPAN7,AD,21,0,37,159,0.0,0
TSPAN7,AD,22,2,37,512,0.00390625,0
TSPAN7,AD,23,1,37,91,0.01098901098901099,0
PLXNA3,AD,0,2,114,194,0.010309278350515464,0
PLXNA3,AD,1,1,114,216,0.004629629629629629,0
PLXNA3,AD,2,0,114,109,0.0,0
PLXNA3,AD,3,2,114,195,0.010256410256410256,0
PLXNA3,AD,4,7,114,233,0.030042918454935622,0
PLXNA3,AD,5,1,114,160,0.00625,0
PLXNA3,AD,6,1,114,118,0.00847457627118644,0
PLXNA3,AD,7,0,114,53,0.0,0
PLXNA3,AD,8,2,114,394,0.005076142131979695,0
PLXNA3,AD,9,1,114,128,0.0078125,0
PLXNA3,AD,10,0,114,293,0.0,0
PLXNA3,AD,11,0,114,81,0.0,0
PLXNA3,AD,12,0,114,129,0.0,0
PLXNA3,AD,13,3,114,290,0.010344827586206896,0
PLXNA3,AD,14,0,114,38,0.0,0
PLXNA3,AD,15,1,114,179,0.00558659217877095,0
PLXNA3,AD,16,2,114,129,0.015503875968992248,0
PLXNA3,AD,17,3,114,175,0.017142857142857144,0
PLXNA3,AD,18,1,114,96,0.010416666666666666,0
PLXNA3,AD,19,0,114,112,0.0,0
PLXNA3,AD,20,2,114,213,0.009389671361502348,0
PLXNA3,AD,21,0,114,159,0.0,0
PLXNA3,AD,22,7,114,512,0.013671875,0
PLXNA3,AD,23,0,114,91,0.0,0
GLIPR1,AD,0,0,22,194,0.0,0
GLIPR1,AD,1,0,22,216,0.0,0
GLIPR1,AD,2,3,22,109,0.027522935779816515,0
GLIPR1,AD,3,2,22,195,0.010256410256410256,0
