disease,species,module_id,module_size,node_conservation,edge_conservation,edges_evaluated,edges_conserved,topology_conservation
PD,fly,7,139,0.7482014388489209,0.13114754098360656,122,16,0.5350877192982456
PD,mouse,8,303,0.8547854785478548,0.3176470588235294,510,162,0.6443850267379679
PD,yeast,8,303,0.47194719471947194,0.6908396946564885,262,181,0.6819787985865724
PD,fly,8,303,0.6864686468646864,0.4596774193548387,372,171,0.6985981308411215
PD,mouse,9,119,0.8991596638655462,0.056,125,7,0.4614245080362509
PD,yeast,9,119,0.3949579831932773,0.3333333333333333,9,3,0.4411761279235721
PD,fly,9,119,0.6638655462184874,0.16666666666666666,18,3,0.5084269662921348
PD,mouse,10,219,0.9223744292237442,0.08298755186721991,241,20,0.41386359462571565
PD,yeast,10,219,0.3835616438356164,0.4523809523809524,42,19,0.5410447761194029
PD,fly,10,219,0.593607305936073,0.030612244897959183,98,3,0.503968253968254
PD,mouse,11,6,0.8333333333333334,0.0,4,0,0.0
PD,yeast,11,6,0.0,,0,0,0.0
PD,fly,11,6,0.3333333333333333,1.0,1,1,1.0
PD,mouse,12,93,0.956989247311828,0.12359550561797752,89,11,0.5528846153846154
PD,yeast,12,93,0.21505376344086022,,0,0,0.4334346504559271
PD,fly,12,93,0.4946236559139785,0.0,23,0,0.0
PD,mouse,13,116,0.9396551724137931,0.07692307692307693,117,9,0.43108772619984265
PD,yeast,13,116,0.19827586206896552,0.15384615384615385,13,2,0.45299771912675135
PD,fly,13,116,0.5258620689655172,0.1206896551724138,58,7,0.5275229357798166
PD,mouse,14,195,0.9128205128205128,0.06382978723404255,188,12,0.403809577568795
PD,yeast,14,195,0.30256410256410254,0.11538461538461539,52,6,0.5205882352941177
PD,fly,14,195,0.517948717948718,0.009523809523809525,105,1,0.5024509803921569
PD,mouse,15,45,0.9333333333333333,0.04878048780487805,41,2,0.23867595818815332
PD,yeast,15,45,0.13333333333333333,,0,0,0.0
PD,fly,15,45,0.6,0.038461538461538464,26,1,0.5086206896551724
PD,mouse,16,31,0.9354838709677419,0.0,28,0,0.0
PD,yeast,16,31,0.22580645161290322,0.0,4,0,0.5
PD,fly,16,31,0.45161290322580644,0.0,12,0,0.0
PD,mouse,17,237,0.8776371308016878,0.03418803418803419,234,8,0.3067887778501776
PD,yeast,17,237,0.2742616033755274,0.125,8,1,0.5196078431372549
PD,fly,17,237,0.5232067510548524,0.07407407407407407,54,4,0.16359563459550627
PD,mouse,18,130,0.9461538461538461,0.13836477987421383,159,22,0.5635838150289018
PD,yeast,18,130,0.24615384615384617,0.2,40,8,0.53125
PD,fly,18,130,0.46923076923076923,0.05405405405405406,74,4,0.510752688172043
PD,mouse,19,5,0.2,,0,0,0.0
PD,yeast,19,5,0.0,,0,0,0.0
PD,fly,19,5,0.2,,0,0,0.0
PD,mouse,20,38,0.868421052631579,0.0,34,0,0.0
PD,yeast,20,38,0.15789473684210525,,0,0,0.0
PD,fly,20,38,0.34210526315789475,,0,0,0.0
PD,mouse,21,233,0.9098712446351931,0.1626984126984127,252,41,0.5701754385964912
PD,yeast,21,233,0.31759656652360513,,0,0,0.5
PD,fly,21,233,0.5321888412017167,,0,0,0.36577708006279436
