ei	N CTs	N variants g	N PMIDs Chemicals	Gene	pLI	Gene Full Name	First Ref.	Last Ref.	N Chemicals	N PMIDs	score	N diseases g	My Score	DSI g	DPI g	N variants gda
0.7948717948717948	1	73	0	TF	1.0363E-12	transferrin	2004	2007	0	2	0.85	40		0.4	0.92	1
0.8695652173913043	0	0	0	EIF2S1	0.99981	eukaryotic translation initiation factor 2 subunit alpha	2007	2007	0	1	0.85	7		0.5	0.88	0
1.0	2	102	0	F2	0.14962	coagulation factor II, thrombin	1993	1993	0	1	0.85	71		0.41	0.88	0
0.6666666666666666	8	10	0	CYP2D6	7.7866E-23	cytochrome P450 family 2 subfamily D member 6 (gene/pseudogene)	1995	1995	0	1	0.85	111		0.45	0.92	0
0.8064516129032258	0	17	0	NCSTN	1.0	nicastrin	2007	2007	0	1	0.85	6		0.65	0.67	0
0.7619047619047619	0	9	0	SOD2	0.032187	superoxide dismutase 2	2009	2009	0	1	0.85	197		0.38	0.96	0
0.8333333333333334	1	5	0	TFAM	0.086114	transcription factor A, mitochondrial	2007	2007	0	1	0.85	16		0.51	0.88	0
0.8870967741935484	0	88	0	PRNP	3.2079E-4	prion protein (Kanno blood group)	2007	2007	0	1	0.85	29		0.43	0.92	0
0.8444444444444444	1	61	0	APOA1	5.2702E-7	apolipoprotein A1			0	0	0.85	45		0.4	0.88	0
0.9	0	306	0	ABCA1	2.0444E-12	ATP binding cassette subfamily A member 1			0	0	0.85	34		0.46	0.88	2
0.85	2	245	0	C3	1.1541E-6	complement C3			0	0	0.85	46		0.43	0.88	0
0.9024390243902439	0	2249	0	LDLR	1.1561E-30	low density lipoprotein receptor			0	0	0.85	37		0.45	0.88	1
0.75	0	20	0	ECE1	0.98713	endothelin converting enzyme 1			0	0	0.85	13		0.53	0.75	0
0.9302325581395349	0	18	0	ESR2	5.8401E-10	estrogen receptor 2			0	0	0.85	51		0.4	0.88	1
1.0	0	131	0	CD2AP	9.6593E-6	CD2 associated protein	2011	2018	0	3	0.8	7		0.56	0.79	5
1.0	0	8	0	EPHA1	7.1149E-26	EPH receptor A1	2011	2011	0	2	0.8	3		0.56	0.83	5
0.8620689655172413	0	11	0	CST3	1.0564E-4	cystatin C	2007	2007	0	2	0.8	17		0.43	0.88	0
0.9272727272727272	0	8	0	HMOX1	3.3466E-7	heme oxygenase 1	2000	2000	0	1	0.8	85		0.38	0.88	0
0.9736842105263158	0	19	0	INPP5D	1.0	inositol polyphosphate-5-phosphatase D	2018	2018	0	1	0.8	3		0.54	0.83	6
0.9743589743589743	0	463	0	IGF1R	1.0	insulin like growth factor 1 receptor	2005	2005	0	1	0.8	52		0.38	0.88	0
1.0	0	14	0	PTK2B	4.2332E-5	protein tyrosine kinase 2 beta	2021	2021	0	1	0.8	8		0.5	0.83	4
1.0	0	319	0	INSR	1.4394E-4	insulin receptor	2014	2014	0	1	0.8	32		0.42	0.88	0
1.0	0	46	0	IGF2	0.9599	insulin like growth factor 2	2005	2005	0	1	0.8	44		0.38	0.88	0
1.0	0	465	0	WWOX	2.9926E-33	WW domain containing oxidoreductase	2019	2019	0	1	0.8	40		0.44	0.88	1
0.967741935483871	0	1470	0	RELN	1.0	reelin	2010	2010	0	1	0.8	37		0.47	0.88	0
0.8918918918918919	0	1	0	CASP3	0.066565	caspase 3	2008	2008	0	1	0.8	39		0.38	0.88	0
0.8108108108108109	0	0	0	NPY	0.0015886	neuropeptide Y	2001	2001	0	1	0.8	45		0.44	0.92	0
0.9696969696969697	0	9	0	PPARA	0.0034658	peroxisome proliferator activated receptor alpha			0	0	0.8	45		0.42	0.88	0
0.8666666666666667	0	3	0	APBB1	0.99999	amyloid beta precursor protein binding family B member 1			0	0	0.8	5		0.71	0.46	0
0.9285714285714286	0	40	0	IL6R	6.7914E-8	interleukin 6 receptor			0	0	0.8	32		0.38	0.92	1
1.0	0	241	0	TAP2	2.132E-11	transporter 2, ATP binding cassette subfamily B member			0	0	0.8	23		0.45	0.88	0
0.8421052631578947	0	3	0	APOA4	5.7529E-7	apolipoprotein A4			0	0	0.8	11		0.52	0.88	0
0.84	0	247	0	FAS	0.99961	Fas cell surface death receptor			0	0	0.8	69		0.36	0.88	0
0.9565217391304348	0	158	0	CYP19A1	0.015987	cytochrome P450 family 19 subfamily A member 1			0	0	0.8	42		0.44	0.88	0
1.0	0	63	0	AGTR1	7.1609E-5	angiotensin II receptor type 1			0	0	0.8	41		0.43	0.92	0
0.9807692307692307	0	14	0	FYN	1.0	FYN proto-oncogene, Src family tyrosine kinase			0	0	0.8	14		0.47	0.88	0
0.6666666666666666	1	2	0	ADRA1A	3.5799E-11	adrenoceptor alpha 1A			0	0	0.8	16		0.57	0.71	0
0.927710843373494	0	1	0	NGFR	3.7444E-9	nerve growth factor receptor			0	0	0.8	9		0.44	0.92	0
0.9375	0	546	0	NTRK1	1.0907E-16	neurotrophic receptor tyrosine kinase 1			0	0	0.8	32		0.42	0.92	0
0.9761904761904762	0	319	0	STAT3	1.0	signal transducer and activator of transcription 3			0	0	0.8	98		0.32	0.88	0
0.9444444444444444	0	13	0	NOS1	1.0	nitric oxide synthase 1			0	0	0.8	31		0.46	0.83	0
1.0	0	8	0	SERPINE2	0.4555	serpin family E member 2			0	0	0.8	2		0.47	0.83	0
0.7368421052631579	0	5	0	PON1	8.2563E-12	paraoxonase 1			0	0	0.8	93		0.42	0.92	0
0.8936170212765957	0	511	0	GRIN2B	1.0	glutamate ionotropic receptor NMDA type subunit 2B			0	0	0.8	52		0.48	0.88	0
0.9090909090909091	0	3	0	GSTP1	7.9827E-8	glutathione S-transferase pi 1			0	0	0.8	130		0.41	0.92	0
0.8571428571428571	0	256	0	LPL	3.0524E-12	lipoprotein lipase			0	0	0.8	39		0.47	0.83	0
1.0	0	8	0	PARP1	0.99939	poly(ADP-ribose) polymerase 1			0	0	0.8	57		0.39	0.88	0
0.7894736842105263	0	133	0	GLUL	0.9997	glutamate-ammonia ligase			0	0	0.8	20		0.48	0.88	0
